行政區域代碼,名稱,比例尺分母,行政區域設置時間,縣市,鄉鎮,latitude,longitude
09007010,連江縣南竿鄉,5000,,連江縣,南竿鄉,26.151054199074434,119.9457588415101
09007020,連江縣北竿鄉,5000,,連江縣,北竿鄉,26.24881638446446,120.01502963477581
09007030,連江縣莒光鄉,5000,,連江縣,莒光鄉,25.971816847181316,119.96382900079598
09007040,連江縣東引鄉,5000,,連江縣,東引鄉,26.342182429256297,120.42910316222597
09020010,金門縣金城鎮,5000,,金門縣,金城鎮,24.40453695903928,118.30968271710904
09020020,金門縣金沙鎮,5000,,金門縣,金沙鎮,24.485819658104056,118.42443556297944
09020030,金門縣金湖鎮,5000,,金門縣,金湖鎮,24.4282804420328,118.43238753392956
09020040,金門縣金寧鄉,5000,,金門縣,金寧鄉,24.442403355340875,118.33388866573495
09020050,金門縣烈嶼鄉,5000,,金門縣,烈嶼鄉,24.41470928193779,118.22026350186252
09020060,金門縣烏坵鄉,5000,,金門縣,烏坵鄉,24.98816685162863,119.46017447527146
10002010,宜蘭縣宜蘭市,5000,,宜蘭縣,宜蘭市,24.754982808093768,121.75560970611266
10002020,宜蘭縣羅東鎮,5000,,宜蘭縣,羅東鎮,24.678125391333776,121.77000361243914
10002030,宜蘭縣蘇澳鎮,5000,,宜蘭縣,蘇澳鎮,24.565748911262034,121.83359772257444
10002040,宜蘭縣頭城鎮,5000,,宜蘭縣,頭城鎮,25.600856174735313,123.23587655139599
10002050,宜蘭縣礁溪鄉,5000,,宜蘭縣,礁溪鄉,24.81121416908686,121.73382407393636
10002060,宜蘭縣壯圍鄉,5000,,宜蘭縣,壯圍鄉,24.760467135791444,121.80116242195166
10002070,宜蘭縣員山鄉,5000,,宜蘭縣,員山鄉,24.736321314984032,121.67302606472973
10002080,宜蘭縣冬山鄉,5000,,宜蘭縣,冬山鄉,24.64500933319112,121.75266528839278
10002090,宜蘭縣五結鄉,5000,,宜蘭縣,五結鄉,24.68507128539806,121.79884089036572
10002100,宜蘭縣三星鄉,5000,,宜蘭縣,三星鄉,24.667369683340247,121.6766264776477
10002110,宜蘭縣大同鄉,5000,,宜蘭縣,大同鄉,24.566806384021778,121.559729814036
10002120,宜蘭縣南澳鄉,5000,,宜蘭縣,南澳鄉,24.470958552505575,121.67217766602305
10004010,新竹縣竹北市,5000,,新竹縣,竹北市,24.830037606941943,121.01284411157313
10004020,新竹縣竹東鎮,5000,,新竹縣,竹東鎮,24.725865398551775,121.07265909946757
10004030,新竹縣新埔鎮,5000,,新竹縣,新埔鎮,24.840104314744934,121.09560054439288
10004040,新竹縣關西鎮,5000,,新竹縣,關西鎮,24.79654541439425,121.16986874782238
10004050,新竹縣湖口鄉,5000,,新竹縣,湖口鄉,24.884048785042957,121.06175050111644
10004060,新竹縣新豐鄉,5000,,新竹縣,新豐鄉,24.906597719095227,121.00340085325848
10004070,新竹縣芎林鄉,5000,,新竹縣,芎林鄉,24.77394340802166,121.09916453136393
10004080,新竹縣橫山鄉,5000,,新竹縣,橫山鄉,24.714482120175237,121.15185641038181
10004090,新竹縣北埔鄉,5000,,新竹縣,北埔鄉,24.676621694739286,121.06384240627932
10004100,新竹縣寶山鄉,5000,,新竹縣,寶山鄉,24.734404267177823,120.99747569656091
10004110,新竹縣峨眉鄉,5000,,新竹縣,峨眉鄉,24.677881456944156,121.0097834747291
10004120,新竹縣尖石鄉,5000,,新竹縣,尖石鄉,24.606926706866872,121.28062977343157
10004130,新竹縣五峰鄉,5000,,新竹縣,五峰鄉,24.583918075690494,121.12771162220265
10005010,苗栗縣苗栗市,5000,,苗栗縣,苗栗市,24.562599007935802,120.80738953228268
10005020,苗栗縣苑裡鎮,5000,,苗栗縣,苑裡鎮,24.410529184245846,120.70350655275239
10005030,苗栗縣通霄鎮,5000,,苗栗縣,通霄鎮,24.467107284924868,120.72610984133982
10005040,苗栗縣竹南鎮,5000,,苗栗縣,竹南鎮,24.697495555470685,120.88993351875318
10005050,苗栗縣頭份市,5000,,苗栗縣,頭份市,24.67974253573786,120.92526708291574
10005060,苗栗縣後龍鎮,5000,,苗栗縣,後龍鎮,24.5993730162229,120.79551687832495
10005070,苗栗縣卓蘭鎮,5000,,苗栗縣,卓蘭鎮,24.33900625573867,120.83832831253773
10005080,苗栗縣大湖鄉,5000,,苗栗縣,大湖鄉,24.378698285903997,120.84231236627144
10005090,苗栗縣公館鄉,5000,,苗栗縣,公館鄉,24.507679862057465,120.85521131626594
10005100,苗栗縣銅鑼鄉,5000,,苗栗縣,銅鑼鄉,24.458114239581242,120.79360891799259
10005110,苗栗縣南庄鄉,5000,,苗栗縣,南庄鄉,24.586876135389733,121.00566412954454
10005120,苗栗縣頭屋鄉,5000,,苗栗縣,頭屋鄉,24.580921544518944,120.87949732977621
10005130,苗栗縣三義鄉,5000,,苗栗縣,三義鄉,24.38446619868352,120.76839041331576
10005140,苗栗縣西湖鄉,5000,,苗栗縣,西湖鄉,24.54062881763996,120.76290134783548
10005150,苗栗縣造橋鄉,5000,,苗栗縣,造橋鄉,24.61477893505773,120.88725627153647
10005160,苗栗縣三灣鄉,5000,,苗栗縣,三灣鄉,24.629261221008388,120.95171207864891
10005170,苗栗縣獅潭鄉,5000,,苗栗縣,獅潭鄉,24.53092414201656,120.92706725067985
10005180,苗栗縣泰安鄉,5000,,苗栗縣,泰安鄉,24.432749279611944,121.0550547670944
10007010,彰化縣彰化市,5000,,彰化縣,彰化市,24.06740074741663,120.55910942123512
10007020,彰化縣鹿港鎮,5000,,彰化縣,鹿港鎮,24.082238486072843,120.44786850660162
10007030,彰化縣和美鎮,5000,,彰化縣,和美鎮,24.111142484004663,120.50592583797366
10007040,彰化縣線西鄉,5000,,彰化縣,線西鄉,24.123966194298863,120.46219813719493
10007050,彰化縣伸港鄉,5000,,彰化縣,伸港鄉,24.151235631975684,120.48506487378991
10007060,彰化縣福興鄉,5000,,彰化縣,福興鄉,24.028870052568525,120.44270932259394
10007070,彰化縣秀水鄉,5000,,彰化縣,秀水鄉,24.02625563034692,120.51053811917537
10007080,彰化縣花壇鄉,5000,,彰化縣,花壇鄉,24.03146437782329,120.55869802787291
10007090,彰化縣芬園鄉,5000,,彰化縣,芬園鄉,24.002816232107172,120.62673800599137
10007100,彰化縣員林市,5000,,彰化縣,員林市,23.960571904829468,120.5998227941789
10007110,彰化縣溪湖鎮,5000,,彰化縣,溪湖鎮,23.954058849153274,120.4889646307252
10007120,彰化縣田中鎮,5000,,彰化縣,田中鎮,23.860985228331792,120.59147817717634
10007130,彰化縣大村鄉,5000,,彰化縣,大村鄉,23.996061323139497,120.55904908211234
10007140,彰化縣埔鹽鄉,5000,,彰化縣,埔鹽鄉,23.99499451941345,120.4664851368591
10007150,彰化縣埔心鄉,5000,,彰化縣,埔心鄉,23.95362549752458,120.52991714641315
10007160,彰化縣永靖鄉,5000,,彰化縣,永靖鄉,23.92226827127903,120.53883973056925
10007170,彰化縣社頭鄉,5000,,彰化縣,社頭鄉,23.903168810085763,120.60407926445632
10007180,彰化縣二水鄉,5000,,彰化縣,二水鄉,23.820365896609232,120.62660195732985
10007190,彰化縣北斗鎮,5000,,彰化縣,北斗鎮,23.866351799256467,120.53637882942489
10007200,彰化縣二林鎮,5000,,彰化縣,二林鎮,23.909886851654647,120.39912502342612
10007210,彰化縣田尾鄉,5000,,彰化縣,田尾鄉,23.892765758550695,120.5345749948142
10007220,彰化縣埤頭鄉,5000,,彰化縣,埤頭鄉,23.873943073856193,120.46884030565273
10007230,彰化縣芳苑鄉,5000,,彰化縣,芳苑鄉,23.951890339555877,120.36226363038124
10007240,彰化縣大城鄉,5000,,彰化縣,大城鄉,23.86453139454434,120.32032540758566
10007250,彰化縣竹塘鄉,5000,,彰化縣,竹塘鄉,23.856019717143074,120.4114660878784
10007260,彰化縣溪州鄉,5000,,彰化縣,溪州鄉,23.835141104412354,120.53439947140811
10008010,南投縣南投市,5000,,南投縣,南投市,23.922032811965522,120.66968528532
10008020,南投縣埔里鎮,5000,,南投縣,埔里鎮,23.965415797917483,120.9555510547866
10008030,南投縣草屯鎮,5000,,南投縣,草屯鎮,23.979425258371382,120.75711285385232
10008040,南投縣竹山鎮,5000,,南投縣,竹山鎮,23.697220077326786,120.69893809548957
10008050,南投縣集集鎮,5000,,南投縣,集集鎮,23.8414072600627,120.7958339418333
10008060,南投縣名間鄉,5000,,南投縣,名間鄉,23.849278656795526,120.65630417012302
10008070,南投縣鹿谷鄉,5000,,南投縣,鹿谷鄉,23.750962699795824,120.77912154060624
10008080,南投縣中寮鄉,5000,,南投縣,中寮鄉,23.91649734366881,120.7976006213599
10008090,南投縣魚池鄉,5000,,南投縣,魚池鄉,23.881791867511392,120.91832646959736
10008100,南投縣國姓鄉,5000,,南投縣,國姓鄉,24.013958615804555,120.86350389771084
10008110,南投縣水里鄉,5000,,南投縣,水里鄉,23.81855156251967,120.86585416371379
10008120,南投縣信義鄉,5000,,南投縣,信義鄉,23.680314227315073,121.02194854934763
10008130,南投縣仁愛鄉,5000,,南投縣,仁愛鄉,24.02260581089337,121.11080847759185
10009010,雲林縣斗六市,5000,,雲林縣,斗六市,23.698561670052126,120.57697239295243
10009020,雲林縣斗南鎮,5000,,雲林縣,斗南鎮,23.67423740835402,120.47743499323461
10009030,雲林縣虎尾鎮,5000,,雲林縣,虎尾鎮,23.713315471267943,120.4276254494839
10009040,雲林縣西螺鎮,5000,,雲林縣,西螺鎮,23.77215539752395,120.44784745942152
10009050,雲林縣土庫鎮,5000,,雲林縣,土庫鎮,23.69960824988724,120.36357185368269
10009060,雲林縣北港鎮,5000,,雲林縣,北港鎮,23.595321638807835,120.28934381552622
10009070,雲林縣古坑鄉,5000,,雲林縣,古坑鄉,23.62247340320474,120.60955904159898
10009080,雲林縣大埤鄉,5000,,雲林縣,大埤鄉,23.65165050443201,120.42854777393786
10009090,雲林縣莿桐鄉,5000,,雲林縣,莿桐鄉,23.76604042780543,120.52822075268888
10009100,雲林縣林內鄉,5000,,雲林縣,林內鄉,23.7458730340888,120.61777190815896
10009110,雲林縣二崙鄉,5000,,雲林縣,二崙鄉,23.779307798217662,120.39982893472049
10009120,雲林縣崙背鄉,5000,,雲林縣,崙背鄉,23.768686184992905,120.3375326107109
10009130,雲林縣麥寮鄉,5000,,雲林縣,麥寮鄉,23.770419474553695,120.2597747641398
10009140,雲林縣東勢鄉,5000,,雲林縣,東勢鄉,23.693383253819032,120.25979671128368
10009150,雲林縣褒忠鄉,5000,,雲林縣,褒忠鄉,23.71247727204796,120.30858223932178
10009160,雲林縣臺西鄉,5000,,雲林縣,臺西鄉,23.700271979763826,120.21095153546102
10009170,雲林縣元長鄉,5000,,雲林縣,元長鄉,23.6503138661641,120.32409350386075
10009180,雲林縣四湖鄉,5000,,雲林縣,四湖鄉,23.64502620623316,120.21882781207687
10009190,雲林縣口湖鄉,5000,,雲林縣,口湖鄉,23.546582525613864,120.13044488336253
10009200,雲林縣水林鄉,5000,,雲林縣,水林鄉,23.575398139888403,120.23728964135726
10010010,嘉義縣太保市,5000,,嘉義縣,太保市,23.473907530900828,120.34628529546671
10010020,嘉義縣朴子市,5000,,嘉義縣,朴子市,23.43988577291153,120.25398318565016
10010030,嘉義縣布袋鎮,5000,,嘉義縣,布袋鎮,23.397764060829516,120.19636965889767
10010040,嘉義縣大林鎮,5000,,嘉義縣,大林鎮,23.590022718444953,120.47975372804548
10010050,嘉義縣民雄鄉,5000,,嘉義縣,民雄鄉,23.54478752301168,120.44977063237306
10010060,嘉義縣溪口鄉,5000,,嘉義縣,溪口鄉,23.589925929806594,120.40817503017345
10010070,嘉義縣新港鄉,5000,,嘉義縣,新港鄉,23.539685481774217,120.35589700160835
10010080,嘉義縣六腳鄉,5000,,嘉義縣,六腳鄉,23.505018222919976,120.27372439738609
10010090,嘉義縣東石鄉,5000,,嘉義縣,東石鄉,23.45317249043471,120.18533652817644
10010100,嘉義縣義竹鄉,5000,,嘉義縣,義竹鄉,23.360683777989344,120.22807591238863
10010110,嘉義縣鹿草鄉,5000,,嘉義縣,鹿草鄉,23.417646729606897,120.30063772435649
10010120,嘉義縣水上鄉,5000,,嘉義縣,水上鄉,23.426417495449932,120.42973692261336
10010130,嘉義縣中埔鄉,5000,,嘉義縣,中埔鄉,23.406293934870636,120.52589350851774
10010140,嘉義縣竹崎鄉,5000,,嘉義縣,竹崎鄉,23.503066950717844,120.5820485835079
10010150,嘉義縣梅山鄉,5000,,嘉義縣,梅山鄉,23.561375814669837,120.6062107531985
10010160,嘉義縣番路鄉,5000,,嘉義縣,番路鄉,23.434605188265394,120.59320163128774
10010170,嘉義縣大埔鄉,5000,,嘉義縣,大埔鄉,23.309459122803407,120.60198627153092
10010180,嘉義縣阿里山鄉,5000,,嘉義縣,阿里山鄉,23.44526317221962,120.74112320170863
10013010,屏東縣屏東市,5000,,屏東縣,屏東市,22.66712211476655,120.49287990481994
10013020,屏東縣潮州鎮,5000,,屏東縣,潮州鎮,22.541663206154944,120.5492028579855
10013030,屏東縣東港鎮,5000,,屏東縣,東港鎮,22.467620296056662,120.48319200410658
10013040,屏東縣恆春鎮,5000,,屏東縣,恆春鎮,22.00142388562674,120.76667688779041
10013050,屏東縣萬丹鄉,5000,,屏東縣,萬丹鄉,22.58600191444246,120.48536336190766
10013060,屏東縣長治鄉,5000,,屏東縣,長治鄉,22.691033398692564,120.55113147796638
10013070,屏東縣麟洛鄉,5000,,屏東縣,麟洛鄉,22.65080953835124,120.52918395914747
10013080,屏東縣九如鄉,5000,,屏東縣,九如鄉,22.731930263746133,120.49403309829044
10013090,屏東縣里港鄉,5000,,屏東縣,里港鄉,22.789799842302788,120.51352346056034
10013100,屏東縣鹽埔鄉,5000,,屏東縣,鹽埔鄉,22.740877298131267,120.56425789920486
10013110,屏東縣高樹鄉,5000,,屏東縣,高樹鄉,22.792409565359065,120.61036571012662
10013120,屏東縣萬巒鄉,5000,,屏東縣,萬巒鄉,22.582463925581358,120.60726334897987
10013130,屏東縣內埔鄉,5000,,屏東縣,內埔鄉,22.641688390739173,120.58927526915083
10013140,屏東縣竹田鄉,5000,,屏東縣,竹田鄉,22.589755900928033,120.52665469400092
10013150,屏東縣新埤鄉,5000,,屏東縣,新埤鄉,22.480250586696517,120.5939351436625
10013160,屏東縣枋寮鄉,5000,,屏東縣,枋寮鄉,22.401177062039935,120.60477970974436
10013170,屏東縣新園鄉,5000,,屏東縣,新園鄉,22.515122533267338,120.45925563851391
10013180,屏東縣崁頂鄉,5000,,屏東縣,崁頂鄉,22.51632053482215,120.504911783252
10013190,屏東縣林邊鄉,5000,,屏東縣,林邊鄉,22.4473207064512,120.51427318407809
10013200,屏東縣南州鄉,5000,,屏東縣,南州鄉,22.481329297981357,120.51844622592404
10013210,屏東縣佳冬鄉,5000,,屏東縣,佳冬鄉,22.429631601110216,120.55210713875086
10013220,屏東縣琉球鄉,5000,,屏東縣,琉球鄉,22.3402275811975,120.36906924612111
10013230,屏東縣車城鄉,5000,,屏東縣,車城鄉,22.078793066109327,120.73821371808971
10013240,屏東縣滿州鄉,5000,,屏東縣,滿州鄉,22.058422662715564,120.83293163679946
10013250,屏東縣枋山鄉,5000,,屏東縣,枋山鄉,22.247383309705953,120.67065435695771
10013260,屏東縣三地門鄉,5000,,屏東縣,三地門鄉,22.786893266215923,120.66350392116357
10013270,屏東縣霧臺鄉,5000,,屏東縣,霧臺鄉,22.747848313276858,120.7748406129928
10013280,屏東縣瑪家鄉,5000,,屏東縣,瑪家鄉,22.661642162846675,120.65878430804916
10013290,屏東縣泰武鄉,5000,,屏東縣,泰武鄉,22.58813576223653,120.65248171661855
10013300,屏東縣來義鄉,5000,,屏東縣,來義鄉,22.498848771874407,120.65053514895781
10013310,屏東縣春日鄉,5000,,屏東縣,春日鄉,22.39605724484068,120.6654551573254
10013320,屏東縣獅子鄉,5000,,屏東縣,獅子鄉,22.23080137619411,120.72933326390697
10013330,屏東縣牡丹鄉,5000,,屏東縣,牡丹鄉,22.149110599918732,120.81260004041617
10014010,臺東縣臺東市,5000,,臺東縣,臺東市,22.76107357323383,121.11002669216815
10014020,臺東縣成功鎮,5000,,臺東縣,成功鎮,23.13965260516051,121.34744064843383
10014030,臺東縣關山鎮,5000,,臺東縣,關山鎮,23.037147871846695,121.17601041959462
10014040,臺東縣卑南鄉,5000,,臺東縣,卑南鄉,22.76462582752471,121.01212126715302
10014050,臺東縣鹿野鄉,5000,,臺東縣,鹿野鄉,22.951148873380014,121.15842204558624
10014060,臺東縣池上鄉,5000,,臺東縣,池上鄉,23.09798595960401,121.21675117677702
10014070,臺東縣東河鄉,5000,,臺東縣,東河鄉,22.9780840490276,121.24506555487255
10014080,臺東縣長濱鄉,5000,,臺東縣,長濱鄉,23.33486369307211,121.41467534801137
10014090,臺東縣太麻里鄉,5000,,臺東縣,太麻里鄉,22.59263235752235,120.97621990624468
10014100,臺東縣大武鄉,5000,,臺東縣,大武鄉,22.37273631019581,120.8935683931549
10014110,臺東縣綠島鄉,5000,,臺東縣,綠島鄉,22.65669894790556,121.49273493751836
10014120,臺東縣海端鄉,5000,,臺東縣,海端鄉,23.092270770557235,121.04430199655495
10014130,臺東縣延平鄉,5000,,臺東縣,延平鄉,22.905527676483537,121.02420678860443
10014140,臺東縣金峰鄉,5000,,臺東縣,金峰鄉,22.60522735095311,120.90288531959223
10014150,臺東縣達仁鄉,5000,,臺東縣,達仁鄉,22.37426863301459,120.84734684011686
10014160,臺東縣蘭嶼鄉,5000,,臺東縣,蘭嶼鄉,22.03444596083836,121.56458977480644
10015010,花蓮縣花蓮市,5000,,花蓮縣,花蓮市,24.001258258671882,121.5969442662975
10015020,花蓮縣鳳林鎮,5000,,花蓮縣,鳳林鎮,23.746007956945913,121.46970370406405
10015030,花蓮縣玉里鎮,5000,,花蓮縣,玉里鎮,23.366939196103946,121.36669659474238
10015040,花蓮縣新城鄉,5000,,花蓮縣,新城鄉,24.061203981455474,121.61437093561901
